FACILITY ID,WDID,FACILITY NAME,PROGRAM CATEGORY,Reclassification,COMMUNITY TYPE,FEDERAL FACILITY,GW ASSESSMENT,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT
213850,#N/A,CA Dept of Corrections Centinela WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
212585,#N/A,Calera Creek Water Recycling Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
212589,#N/A,Calexico City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
212681,#N/A,California Men's Colony WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
212739,#N/A,Calipatria City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
212750,#N/A,Calistoga City Dunaweal WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
216719,#N/A,Camarillo WRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
216832,#N/A,Camrosa Water Reclamation Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
213281,#N/A,Carmel Area WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
213332,#N/A,Carpinteria SD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
213432,#N/A,Cascade Shores WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
824400,#N/A,Cayucos SD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
213875,#N/A,Central Contra Costa SD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
213889,#N/A,Central Marin San. Agcy. WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
214199,#N/A,Chester STP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
271805,#N/A,Chico Water Pollution Control Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
215106,#N/A,City of Colfax WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
215225,#N/A,City of Colusa WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
215750,#N/A,City of Corning WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
219223,#N/A,City of Davis WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
214642,#N/A,City of Jackson WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
271781,#N/A,City of Lathrop Consolidated Treatment Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
237195,#N/A,City of Livermore Water Reclamation Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
239343,#N/A,City of Manteca WW Quality Control Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
241146,#N/A,City of Modesto WQCF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
882248,#N/A,City of Morro Bay Water Reclamation Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
217831,#N/A,City of Pinole WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
255218,#N/A,City of San Clemente WRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
850597,#N/A,City of San Diego North City Pure Water Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
214802,#N/A,Clear Creek WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
214888,#N/A,Cloverdale City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
214899,#N/A,Clovis WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
214933,#N/A,Coachella SD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
216446,#N/A,Coachella Valley WD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259146,#N/A,Colton WRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259178,#N/A,"Colton/San Bernadino STP, RIX",NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
255003,#N/A,Copper Cove WWRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259171,#N/A,Corona WWRF #1,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259174,#N/A,Corona WWRF #3,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
215903,#N/A,Cottonwood WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
215925,#N/A,Country Life MHPRV Asset Partners LP WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
215966,#N/A,Covelo POTW,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
216106,#N/A,Crescent City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
273166,#N/A,Cutler-Orosi WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
219146,#N/A,Date Gardens MHP WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
219398,#N/A,Deer Creek WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
219530,#N/A,Delleker WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
219552,#N/A,Delta Diablo WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
220315,#N/A,Discovery Bay WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
267571,#N/A,Donald C. Tillman WWRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
220548,#N/A,Donner Summit PUD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
220768,#N/A,Dry Creek WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
220792,#N/A,Dublin San Ramon SD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
220850,#N/A,Dunsmuir WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
222132,#N/A,EBMUD WPCP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259214,#N/A,EVMWD Regional WWRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
222057,#N/A,Easterly WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
254981,#N/A,EchoWater Resource Recovery Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
835669,#N/A,El Capitan State Beach Water System,NPDESWW,DU,COMMUNITY,FALSE,No,No,No,No
222407,#N/A,El Centro City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
222434,#N/A,El Dorado Hills WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
222443,#N/A,El Estero Water Resource Center NPDES,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
222491,#N/A,El Portal WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
222509,#N/A,El Toro WD WRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
222758,#N/A,Encina Water Pollution Control Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
223010,#N/A,Eureka City Elk River WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
225526,#N/A,Fairfield-Suisun Sewer District Subregional WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
224137,#N/A,Fallbrook Water Reclamation Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
224348,#N/A,Ferndale City POTW,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
717684,#N/A,Forest Meadows WWRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
224901,#N/A,Forestville Water District,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
225055,#N/A,Fort Bragg City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
225089,#N/A,Fortuna City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
226690,#N/A,Galt WWTP & Reclamation Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
227568,#N/A,Goleta SD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
227818,#N/A,Grass Valley City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
256050,#N/A,Graton CSD,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
228018,#N/A,Grizzly Ranch CSD,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
229726,#N/A,HARRF DISCH to San Elijo Ocean Outfall,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
229725,#N/A,HARRF Disch To Escondido Creek,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
229559,#N/A,Hammonton Gold Village WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
229595,#N/A,Hangtown Creek WRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
229882,#N/A,Hayward WPCF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
229922,#N/A,Healdsburg City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
229967,#N/A,Heber PUD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259161,#N/A,Henry N. Wochholz WWRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
230132,#N/A,Heritage Ranch WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
231693,#N/A,Hill Canyon WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
230588,#N/A,Holtville City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
232063,#N/A,Hyperion WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259184,#N/A,IEUA Carbon Canyon WWRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
