"Region","Wdid","Status","Last.Updated.On","CS.Type","SSOq.Population.Served","SSOq.Annual.O.M.Budget","SSOq.Annual.Cap.Exp.Budget","SSOq.Entry.Individuals","SSOq.Journey.Individuals","SSOq.Super.Individuals","SSOq.Manage.Individuals","SSOq.Grade.I.Maint","SSOq.Grade.I.Plant","SSOq.Grade.II.Maint","SSOq.Grade.II.Ei","SSOq.Grade.II.Mechanical","SSOq.Grade.III.Maint","SSOq.Grade.III.Ei","SSOq.Grade.III.Mechanical","SSOq.Grade.IV.Maint","SSOq.Grade.IV.Ei","SSOq.Grade.IV.Mechanical","SSOQ_CSU_I","SSOQ_CSU_II","SSOQ_PIPE_6_GRAVITY","SSOQ_PIPE_6_FORCE","SSOQ_PIPE_8_GRAVITY","SSOQ_PIPE_8_FORCE","SSOQ_PIPE_9_18_GRAVITY","SSOQ_PIPE_9_18_FORCE","SSOQ_PIPE_19_36_GRAVITY","SSOQ_PIPE_19_36_FORCE","SSOQ_PIPE_36_GRAVITY","SSOQ_PIPE_36_FORCE","SSOQ_PIPE_UNKNOWN_GRAVITY","SSOQ_PIPE_UNKNOWN_FORCE","SSOQ_PIPE_TOTAL_GRAVITY","SSOQ_PIPE_TOTAL_FORCE","SSOQ_MILES_OF_FORCE_MAIN","SSOQ_MILES_OF_GRAVITY_SEWER","SSOQ_MILES_OF_LATERALS","SSOQ_PORTION_OF_LTERL_RESPSBLE","SSOQ_MILES_OF_LTERL_RESPSBLE","SSOQ_NO_SERVICE_LATERAL","SSOQ_UNKNOWN_GRAVITY","SSOQ_UNKNOWN_OVER","SSOQ_UNKNOWN_UNDER","SSOQ_CONSTRUCTED_BEFORE_1900","SSOQ_BEFORE_1900_OVER","SSOQ_BEFORE_1900_UNDER","SSOQ_CONSTRUCTED_1900_1919","SSOQ_1900_1919_OVER","SSOQ_1900_1919_UNDER","SSOQ_CONSTRUCTED_1920_1939","SSOQ_1920_1939_OVER","SSOQ_1920_1939_UNDER","SSOQ_CONSTRUCTED_1940_1959","SSOQ_1940_1959_OVER","SSOQ_1940_1959_UNDER","SSOQ_CONSTRUCTED_1960_1979","SSOQ_1960_1979_OVER","SSOQ_1960_1979_UNDER","SSOQ_CONSTRUCTED_1980_1999","SSOQ_1980_1999_OVER","SSOQ_1980_1999_UNDER","SSOQ_CONSTRUCTED_2000_CURRENT","SSOQ_AFTER_2000_OVER","SSOQ_AFTER_2000_UNDER","SSOQ_TOTAL_GRAVITY","SSOQ_TOTAL_OVER","SSOQ_TOTAL_UNDER","SSOQ_INACCESSIBLE_SEWER_MILES","SSOQ_SEWER_CLEAN_PRODUCTION","SSOQ_GRAVITY_SEWER_INSPECTION","SSOQ_SSF_AVERAGE_DRY","SSOQ_SSF_PEAK_WET","SSOQ_TO_TYPE_1","SSOQ_TO_NAME_1","SSOQ_TO_WDID_1","SSOQ_26_COUNT","SSOQ_TRIBUTARY_SSS","SSOQ_TRIBUTARY_1","SSOQ_TRIBUTARY_NAME_1","SSOQ_TRIBUTARY_WDID_1","SSOQ_27B_COUNT","SSOQ_GRAVITY_AERIAL_CROSS","SSOQ_FORCE_AERIAL_CROSS","SSOQ_SIPHONS_CONVEY_SEWAGE","X"
"2","2SSO11204","Active","01/04/2023","Municipal (Public)","425,097","19,607,403","6,023,909","28",29,"9","3","15","0","0","0","0","3","0","0","2","0","0",0,0,"6","70","67","18","17","12","4","0","1","0","5","0",100,100,"1.4","931.3","1,000","none","0","101000","10","0","0","0","0","0","0","0","0","0","0","0","40","0","0","10","0","0","15","0","0","25","2",11,100,2,11,"0","193","82","48","260","WWTP other agency","EBMUD","2SSO10131",1,"Yes","No","City of Piedmont","unkno2SSO1016wn",1,432,1,0,NA
"2","2SSO11208","Historical","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","",0,"","","","",0,NA,NA,NA,NA
"2","2SSO11410","Active","04/14/2023","Park (w/Campground)","500","75,000","400,000","0",1,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"100","0","0","0","0","100","0","0","0","0","0","0",100,100,"0.9","1.0","1.0","upperLower","1.0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","2","0","0","0","0","0",0,100,0,2,"0","0","0",".01",".01","SSS other agency","Castro Valley Sanitary District","unknown",1,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11411","Active","04/14/2023","Park (Day Use)","150","75,000","400,000","0",1,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"100","0","0","0","0","100","0","0","0","0","0","0",100,100,"0.3","0.8","0.3","upperLower","0.3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","1","0","0","0","0","0",0,100,0,1,"0","0","0",".005",".005","SSS other agency","Hayward Sanitary District","unknown",1,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11413","Active","04/14/2023","Park (w/Campground)","1,100","75,000","400,000","0",1,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"100","0","0","0","0","100","0","0","0","0","0","0",100,100,"1.6","0.8","0.8","upperLower","0.8","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","10","0",6,100,0,6,"0","0","0",".015",".20","WWTP same agency","Del Valle Regional Park","R2-90-157",1,"No"," "," "," ",0,1,0,0,NA
"2","2SSO11430","Active","01/10/2023","Port","5,700","500,000","20,750,000","0",10,"6","3","0","0","0","0","0","0","0","0","0","0","0",0,0,"40","100","30","0","26","0","4","0","0","0","0","0",100,100,"3.6","26","15.1","upperLower","15.1","117","0","0","0","0","0","0","0","0","0","30","0","0","20","0","0","25","0","0","15","18","0","10","9",0,100,27,0,"0","3.7","3.7",".377","1","SSS other agency","City of Oakland","2SSO11204",2,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11444","Active","08/14/2022","Park (Day Use)","100","50,000","50,000","1",2,"1","1","0","0","1","0","0","0","0","0","0","0","0",0,0,"100","100","0","0","0","00","0","00","0","0","0","0",100,100,"1.5","0.5","0.5","upperLower","0.5","12","0","0","0","0","0","0","0","00","0","0","0","00","0","0","0","0","0","0","100","0","0","0","0",5,100,0,5,"0","0.5","0.5",".010",".015","WWTP other agency","Central Marin Sanitation Agency","CA0038628",4,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11445","Historical","11/21/2022","Other","4,000","75,000","75,000","0",0.3,"0.3","0.1","0","0","0","0","0","0","0","0","0","0","0",0,0,"67","0","32","0","1","0","0","0","0","0","0","0",100,0,"0","3.5","2.4","upperLower","2.4","51","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","23","0","0","30","0","0","21","0",0,100,0,0,"0","0","0","0.1","0.2","SSS other agency","City of Berkeley","2SSO10096",2,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11481","Active","04/14/2023","Park (Day Use)","415","75,000","400,000","0",1,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"100","0","0","0","0","100","0","0","0","0","0","0",100,100,"1.4","1.1","1.1","upperLower","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","1","0","0",0,100,0,1,"0","0","0",".01",".01","SSS other agency","Union Sanitary District","unknown",1,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11507","Active","09/20/2022","Port","5,000","300,000","150,000","5",4,"3","2","0","0","0","0","0","0","0","0","0","0","0",0,0,"90","81","1","19","9","0","0","0","0","0","0","0",100,100,"2","8","3.0","upperLower","3.0","300","0","0","0","0","0","0","0","0","0","5","0","0","15","0","0","50","0","0","20","0","0","10","0",0,100,0,0,"6.5","1","0.02","1","1","WWTP other agency","SF PUC","na",1,"No"," "," "," ",0,0,0,0,NA
