"Region","Wdid","Status","Last.Updated.On","CS.Type","SSOq.Population.Served","SSOq.Annual.O.M.Budget","SSOq.Annual.Cap.Exp.Budget","SSOq.Entry.Individuals","SSOq.Journey.Individuals","SSOq.Super.Individuals","SSOq.Manage.Individuals","SSOq.Grade.I.Maint","SSOq.Grade.I.Plant","SSOq.Grade.II.Maint","SSOq.Grade.II.Ei","SSOq.Grade.II.Mechanical","SSOq.Grade.III.Maint","SSOq.Grade.III.Ei","SSOq.Grade.III.Mechanical","SSOq.Grade.IV.Maint","SSOq.Grade.IV.Ei","SSOq.Grade.IV.Mechanical","SSOQ_CSU_I","SSOQ_CSU_II","SSOQ_PIPE_6_GRAVITY","SSOQ_PIPE_6_FORCE","SSOQ_PIPE_8_GRAVITY","SSOQ_PIPE_8_FORCE","SSOQ_PIPE_9_18_GRAVITY","SSOQ_PIPE_9_18_FORCE","SSOQ_PIPE_19_36_GRAVITY","SSOQ_PIPE_19_36_FORCE","SSOQ_PIPE_36_GRAVITY","SSOQ_PIPE_36_FORCE","SSOQ_PIPE_UNKNOWN_GRAVITY","SSOQ_PIPE_UNKNOWN_FORCE","SSOQ_PIPE_TOTAL_GRAVITY","SSOQ_PIPE_TOTAL_FORCE","SSOQ_MILES_OF_FORCE_MAIN","SSOQ_MILES_OF_GRAVITY_SEWER","SSOQ_MILES_OF_LATERALS","SSOQ_PORTION_OF_LTERL_RESPSBLE","SSOQ_MILES_OF_LTERL_RESPSBLE","SSOQ_NO_SERVICE_LATERAL","SSOQ_UNKNOWN_GRAVITY","SSOQ_UNKNOWN_OVER","SSOQ_UNKNOWN_UNDER","SSOQ_CONSTRUCTED_BEFORE_1900","SSOQ_BEFORE_1900_OVER","SSOQ_BEFORE_1900_UNDER","SSOQ_CONSTRUCTED_1900_1919","SSOQ_1900_1919_OVER","SSOQ_1900_1919_UNDER","SSOQ_CONSTRUCTED_1920_1939","SSOQ_1920_1939_OVER","SSOQ_1920_1939_UNDER","SSOQ_CONSTRUCTED_1940_1959","SSOQ_1940_1959_OVER","SSOQ_1940_1959_UNDER","SSOQ_CONSTRUCTED_1960_1979","SSOQ_1960_1979_OVER","SSOQ_1960_1979_UNDER","SSOQ_CONSTRUCTED_1980_1999","SSOQ_1980_1999_OVER","SSOQ_1980_1999_UNDER","SSOQ_CONSTRUCTED_2000_CURRENT","SSOQ_AFTER_2000_OVER","SSOQ_AFTER_2000_UNDER","SSOQ_TOTAL_GRAVITY","SSOQ_TOTAL_OVER","SSOQ_TOTAL_UNDER","SSOQ_INACCESSIBLE_SEWER_MILES","SSOQ_SEWER_CLEAN_PRODUCTION","SSOQ_GRAVITY_SEWER_INSPECTION","SSOQ_SSF_AVERAGE_DRY","SSOQ_SSF_PEAK_WET","SSOQ_TO_TYPE_1","SSOQ_TO_NAME_1","SSOQ_TO_WDID_1","SSOQ_26_COUNT","SSOQ_TRIBUTARY_SSS","SSOQ_TRIBUTARY_1","SSOQ_TRIBUTARY_NAME_1","SSOQ_TRIBUTARY_WDID_1","SSOQ_27B_COUNT","SSOQ_GRAVITY_AERIAL_CROSS","SSOQ_FORCE_AERIAL_CROSS","SSOQ_SIPHONS_CONVEY_SEWAGE","X"
"1","1SSO10001","Active","04/03/2023","Municipal (Public)","19,114","750,000","250,000","1",6,"2","1","3","1","0","0","1","0","0","0","1","0","0",3,0,"65","100","18","0","7","0","5","0","0","0","5","0",100,100,"2","61","51","lower","31","5421","0","0","0","0","0","0","4","0","0","40","0","0","18","0","0","26","0","2","8","0","5","4","1",3,100,1,10,"1.3","14.86","0.40","1.031","11","WWTP same agency","City of Arcata","1B82114OHU",1,"Yes","No","Fieldbrook/Glendale","unknown",1,3,0,0,NA
"1","1SSO10003","Active","05/30/2023","Municipal (Public)","1,139","508,225","3,315,889","0",6,"1","1","4","0","2","0","0","0","0","0","0","0","0",0,0,"0","100","80","0","20","0","0","0","0","0","0","0",100,100,"1.9","15.1","3,180","none","0","1115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","8","10","0","0","5","0",0,100,0,8,"0.5","5","5","0.263","1.1","WWTP same agency","BBPUD RECLAMATION AND DISPOSAL FACILITY","1B750280SON",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10004","Active","01/11/2023","Municipal (Public)","450","99,000","61,640","0",2,"1","1","2","0","2","0","0","0","0","0","0","0","0",4,0,"90","0","10","0","0","0","0","0","0","0","0","0",100,0,"0.3","2.9","1.0","lower","0.4","110","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","0","0","0","25","0","0","10","0",0,100,0,0,"0","0.3","0.3",".03",".08","WWTP same agency","Calpella County Water District","1SSO10004",1,"No"," "," "," ",0,1,0,0,NA
"1","1SSO10005","Historical","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","",0,"","","","",0,NA,NA,NA,NA
"1","1SSO10006","Active","09/06/2022","Prison","4,000","3,000","3,000","1",5,"1","1","0","0","0","0","0","0","0","0","0","0","0",1,1,"46","100","46","0","8","0","0","0","0","0","0","0",100,100,"0.1","4.5","1.1","upperLower","1.1","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","0","0","2","0",1,100,0,1,"0","0.1","0.59",".5","1.5","WWTP same agency","Pelican Bay State Prison","1SSO10006",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10011","Historical","02/10/2023","Park (w/Campground)","250","2,000","2,000","0",2,"1","1","0","0","0","0","0","0","0","0","1","0","1",0,0,"100","100","0","0","0","0","0","0","0","0","0","0",100,100,"0.2","0.9","0.1","upperLower","0.1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","47","0","1","0","0",0,100,0,1,"0.4","0","0",".009",".014","SSS same agency","CDPR Van Damme State Park CS","1SSO10011",1,"No"," "," "," ",0,2,0,1,NA
"1","1SSO10012","Active","07/05/2022","Municipal (Public)","7,535","1,823,488","794,472","1",4,"1","1","1","0","0","0","0","1","0","0","0","0","0",1,0,"73","0","20","0","6","0","1","0","0","0","0","0",100,0,"1","25.8","26.6","lower","6.5","2300","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","15","0","0","50","0","0","30","0",0,100,0,0,"3","7","1",".46","3.9","WWTP other agency","The Laguna Plant","0",1,"No"," "," "," ",0,2,2,3,NA
"1","1SSO10014","Active","09/01/2022","Municipal (Public)","50,000","8,387,426","6,135,316","2",7,"3","3","5","0","4","0","0","0","0","0","0","0","0",2,5,"50","0","10","0","25","50","15","50","0","0","0","0",100,100,"11","119","91","lower","45","9600","0","0","0","10","0","0","10","0","0","20","0","0","25","5","0","20","3","0","10","4","0","5","4",0,100,16,0,"3","40","6","3","30","WWTP same agency","Elk River WWTP","805407",1,"Yes","Yes","HCSD","1FF011419",1,2,1,2,NA
"1","1SSO10016","Active","08/08/2023","Municipal (Public)","43,958","15,994,877","5,237,207","0",4,"1","1","2","0","0","0","0","3","0","0","1","0","1",4,0,"55","0","29","0","12","20","3","80","1","0","0","0",100,100,"7.5","110","80","none","0","80","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","65","1","0","25","1","0","5","0",1,100,2,1,"0.6","14.6","15","3.5","15","WWTP other agency","City of Santa Rosa","1B830990SON",1,"Yes","No","Sonoma State University","1B08057RSON",2,10,2,16,NA
"1","1SSO10017","Active","03/08/2023","Municipal (Public)","7,448","5,003,918","1,004,850","2",10,"1","1","4","0","2","0","0","1","0","0","1","0","0",0,0,"74","0","12","22","12","78","2","0","0","0","0","0",100,100,"2.7","29.6","53","lower","10.5","2754","0","0","0","0","0","0","0","0","0","5","0","0","20","0","0","50","0","0","20","0","1","5","1",0,100,1,1,"2.7","29","10",".404","3.476","WWTP other agency","Laguna Wastewater Treatment Plant","1B830990SON",1,"No"," "," "," ",0,4,1,3,NA
"1","1SSO10018","Active","07/06/2022","Municipal (Public)","5,000","509,500","0","2",3,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"42","0","29","0","27","0","2","0","0","0","0","0",100,0,"0.1","23.2","14.4","lower","18.4","2381","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","15","0","0","65","0","0","12","0",0,100,0,0,"2","2","0",".5","3.63","WWTP same agency","Willits Wastewater Plant","1B800780MEN",1,"No"," "," "," ",0,9,0,5,NA
"1","1SSO10019","Active","11/01/2022","Municipal (Public)","8,700","750,000","345,000","0",1,"1","0","0","0","0","0","0","0","0","0","0","0","0",2,1,"60","1","25","0","5","0","5","0","5","0","0","0",100,100,"0.1","33","21","none","0","3200","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","30","0","0","57","0","1","10","0",0,100,0,1,"0","8","2","500,000","3,000,000","WWTP same agency","City of Cloverdale","1B884032OSON",1,"No"," "," "," ",0,2,0,0,NA
"1","1SSO10020","Historical","05/16/2019","School","4,800","75,000","15,000","3",1,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"78","0","22","0","0","0","0","0","0","0","0","0",100,0,"0.0","2.1","0.4","upperLower","0.4","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94","0","1","0","0","0","6","0",0,100,0,1,"0.1","0.1","0","0.024","0.1","WWTP same agency","College of the Redwoods WWTP","1B801210HUM",1,"No"," "," "," ",0,1,1,0,NA
"1","1SSO10021","Active","01/09/2023","Municipal (Public)","425","276,270","3,145","4",0,"1","1","0","0","1","0","0","0","0","0","0","0","0",1,1,"63","0","17","0","20","0","0","0","0","0","0","0",100,0,"0","4.2","2","lower","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","7","0","1","25","0",2,100,0,3,"0.5","0","0.1",".037",".046","WWTP same agency","Covelo CSD","1B830090MEN",1,"Yes","No","Business Park","None",4,1,0,0,NA
"1","1SSO10022","Active","06/15/2022","Municipal (Public)","5,500","4,022,725","1,086,915","6",6,"2","2","0","1","0","0","0","0","0","0","0","0","0",0,0,"75","20","13","0","10","80","2","0","0","0","0","0",100,100,"0.7","13","18","lower","9","1500","0","0","0","0","0","0","0","0","0","4","0","0","5","0","0","63","1","4","20","0","0","8","0",1,100,1,5,"0","2.2","0.1","1.14","5.07","WWTP same agency","City of Crescent City WWTF","1A8400060DN",1,"Yes","No","Del Norte County CSA",NA,1,1,1,0,NA
"1","1SSO10023","Active","08/03/2022","Municipal (Public)","9,250","230,000","100,000","0",1,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"75","67","12","7","13","26","0","0","0","0","0","0",100,100,"3.9","32.5","26","none","0","2320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","3","0","70","10","0","20","2",0,100,15,0,"0.3","4","4","0.8","4.2","WWTP other agency","Crescent City Waste Water treatment Plant","1A84006ODN",1,"No"," "," "," ",0,6,3,0,NA
"1","1SSO10024","Active","07/13/2020","Municipal (Public)","938","119,000","3,000","1",1,"1","1","1","0","1","0","0","0","0","0","0","0","0",0,0,"100","0","0","0","0","100","0","0","0","0","0","0",100,100,"0.4","6.1","6.1","lower","6.1","493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","1","0","5","0","1","5","0",0,100,1,1,"0","1.5","0.1","72,619","66,397","WWTP same agency","City of Dorris WWTP","1A77141OSIS",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10025","Active","04/06/2023","Municipal (Public)","765","139,457","80,000","1",1,"1","1","1","1","1","0","0","0","0","0","0","0","0",1,1,"8","0","42","0","50","0","0","0","0","0","0","0",100,0,"0","5","1","lower","0","360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","10","0","0","70","0",0,100,0,0,"0","5","0",".215","1.6","WWTP same agency","City of Etna Collection System","1SSO10025",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10027","Active","05/05/2023","Municipal (Public)","1,200","800,000","100,000","2",2,"1","1","0","00","0","0","0","0","0","0","0","0","0",0,0,"60","0","13","0","27","0","0","0","0","0","0","0",100,0,"0","9","0","lower","2","800","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","5","0","0","5","0","0","10","0",0,100,0,0,"0.5","1.5","12",".1","2","WWTP same agency","City of Ferndale","1SSO10027",1,"No"," "," "," ",0,3,0,0,NA
"1","1SSO10028","Active","05/17/2023","Municipal (Public)","1,200","1,241,000","313,000","0",2,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,4,"60","100","10","0","30","0","0","0","0","0","0","0",100,100,"1.0","6.5","3.4","lower","1.7","410","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","1","1","50","0",0,100,1,1,"1","3.5","0.3","80,000","350,000","WWTP same agency","Forestville Water District Wastwater Treatment, Re","1SSO10028",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10030","Active","11/03/2022","Municipal (Public)","616","139,037","0","0",2,"1","1","1","1","0","0","0","0","0","0","0","0","0",0,0,"50","0","40","0","10","0","0","0","0","0","0","0",100,0,"0.1","6","2.8","none","0","343","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","20","0","0","30","0","0","20","0",0,100,0,0,"0.3","0.5","0",".040",".080","WWTP same agency","na","na",1,"No"," "," "," ",0,2,0,0,NA
"1","1SSO10031","Active","05/22/2023","Municipal (Public)","12,295","489,000","6,019,328","3",10,"1","1","0","0","0","0","0","0","0","0","0","0","0",1,1,"75","90","20","10","5","0","0","0","0","0","0","0",100,100,"2","42","8","lower","3","5000","0","0","0","0","0","0","5","0","0","15","0","0","20","0","0","25","0","0","25","0","0","10","1",6,100,1,6,"2","22","9",".750","4.5","WWTP same agency","Tom Cooke Memorial WWTP","1B83135OHUM",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10032","Historical","02/20/2022","Municipal (Public)","1,300","75,888","26,051","0",4,"1","1","0","1","2","0","0","0","0","0","0","0","0",3,3,"100","100","0","0","0","0","0","0","0","0","0","0",100,100,"1","10","4","lower","2","282","0","2","2","0","0","0","0","0","0","23","0","0","23","0","0","50","0","0","2","0","0","2","0",0,100,2,2,"1","2","0",".027",".489","SSS same agency","Garberville Sanitary District","1SSO10032",2,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10033","Active","06/14/2023","Municipal (Public)","1,815","12,000","25,000","0",2,"1","0","0","0","0","0","0","0","0","0","0","0","0",0,0,"80","0","0","100","20","0","0","0","0","0","0","0",100,100,"0.3","5.9","4","none","0","446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","1","1","0","0","0","0","0",0,100,1,1,"0","0","0",".080",".396","WWTP same agency","Graton Community Services District","1B84060OSON",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10035","Active","01/04/2023","Municipal (Public)","652","922,638","460,773","2",0,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"55","60","45","40","0","0","0","0","0","0","0","0",100,100,"5","9","4.5","lower","3","305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","4","0","0",0,100,0,4,"0","1","1","0.0652","0.1202","WWTP same agency","Gualala Community Services District","1B89005RMEN",1,"Yes","No","The Sea Ranch NTP","1B89005RMEN",1,0,1,0,NA
"1","1SSO10036","Active","01/21/2020","Municipal (Public)","927","110,000","95,000","1",0,"0","1","1","na","na","na","na","0","na","na","na","na","na",0,0,"0","100","100","0","0","0","0","0","0","0","0","0",100,100,"4","20","na","none","0","323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","1",5,100,1,5,"0","0","0",".180",".340","WWTP same agency","Happy Camp Sanitary district","none",4,"No"," "," "," ",0,1,0,1,NA
"1","1SSO10037","Active","03/07/2023","Municipal (Public)","11,340","7,736,901","324,312","1",17,"3","2","5","0","3","3","1","1","0","0","2","0","0",1,0,"28","50","40","0","22","0","10","50","0","0","0","0",100,100,"2.9","54","90.6","lower","54.6","4826","0","0","0","0","0","0","0","0","0","10","0","0","56","0","0","16","1","8","14","0","1","4","0",1,100,1,10,"0","7","4","1.4","4.0","WWTP same agency","Healdsburg City","1SSO10037",1,"No"," "," "," ",0,0,2,0,NA
"1","1SSO10038","Active","01/11/2023","Municipal (Public)","1,200","173,000","94,000","0",4,"1","1","4","0","2","0","0","0","0","0","0","0","0",6,0,"0","100","100","0","0","0","0","0","0","0","0","0",100,100,"0.6","4.4","6","lower","3.8","288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","2","0","0","8","0",0,100,0,0,"0.6","0.8","0.2",".04",".125","WWTP same agency","Hopland Public Utility District","1SSO10038",1,"No"," "," "," ",0,3,1,0,NA
"1","1SSO10040","Historical","03/18/2019","Municipal (Public)","240","0","0","1",0,"0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,"10","100","90","0","0","0","0","0","0","0","0","0",100,0,"0.4","0.98","0.5","none","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","1","0","0","0","0","0",0,100,0,1,"0","0.98","0.98",".014",".06","SSS same agency","leach fields 2-3-4-5","na",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10041","Active","11/07/2022","Municipal (Public)","3,000","645,279","90,000","2",2,"1","1","0","1","0","0","0","0","0","0","0","0","0",1,0,"85","98","8","2","7","0","0","0","0","0","0","0",100,100,"12","37.7","2","lower","2","1012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","1","18","20","0","0","10","0",0,100,1,18,"0","5","5",".113",".113","WWTP same agency","LSCSD WWTP","1A79100SIS",1,"No"," "," "," ",0,1,0,1,NA
"1","1SSO10042","Active","06/23/2021","Municipal (Public)","750","12,000","375,000","0",2,"0","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"83","0","17","0","0","0","0","0","0","0","0","100",100,100,"0","2","1","lower","0.4","215","0","0","0","0","0","0","0","0","0","4","0","0","41","0","0","5","0","0","26","0","0","24","0",0,100,0,0,"0.1","0.1","0",".045","0.702","WWTP same agency","Loleta WWTF","1B8008810HUM",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10043","Active","07/07/2022","Municipal (Public)","1,000","35,000","12,500","0",1,"1","1","1","0","0","0","0","0","0","0","0","0","0",0,0,"0","100","0","0","0","0","0","0","0","0","100","0",100,100,"6.3","0","5.4","lower","5.4","355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","50","1","0","0","0",0,100,1,0,"0","0","0",".06",".165","WWTP same agency","Manila Ttreatment Plant","1b80162ohum",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10044","Active","03/30/2023","Municipal (Public)","15,700","3,536,184","4,458,000","2",6,"1","2","0","0","0","0","0","2","0","0","0","0","0",2,0,"80","83","9","0","11","17","0","0","0","0","0","0",100,100,"1.7","68","31","none","0","5310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","0","0","24","4","0","15","1",0,100,5,0,"6","12","3",".764","2.357","WWTP same agency","McKinleyville CSD","1B82084OHUM",1,"No"," "," "," ",0,6,1,0,NA
"1","1SSO10045","Active","02/01/2023","Municipal (Public)","3,500","527,395","36,080","1",2,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"31","100","61","0","8","0","0","0","0","0","0","0",100,100,"0.4","9","0","lower","0","405","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","90","0","2","0","0","1","0","0",0,100,0,3,"0.04","2.0","0",".66",".273","WWTP same agency","Mendocino City CSD WWTP","ISO 10045",1,"Yes","No","Russian Gulch State Park",NA,1,0,0,0,NA
"1","1SSO10047","Active","08/29/2022","Municipal (Public)","550","70,000","15,000","2",1,"1","0","1","0","1","0","0","0","0","0","0","0","0",0,0,"100","0","0","0","0","0","0","0","0","0","0","0",100,0,"0","5","3","lower","3","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0",0,100,0,0,"0","0","0",".035",".065","WWTP same agency","Miranda Community Services District","n/a",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10048","Historical","02/28/2018","Municipal (Public)","1500","132,660","4,000","1",3,"2","0","1","0","1","0","0","0","0","0","0","0","0",0,0,"85","100","11","0","4","0","0","0","0","0","0","0",100,100,"0.5","6.8","0","upperLower","0","506","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","100","0","5","0","0","5","0",0,100,100,0,"0","6","2",".060",".140","WWTP same agency","City of Montague","1SSO10048",1,"No"," "," "," ",0,0,1,0,NA
"1","1SSO10051","Historical","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","",0,"","","","",0,NA,NA,NA,NA
"1","1SSO10052","Active","06/16/2023","Municipal (Public)","350","248,000","995,000","3",9,"3","2","0","0","0","0","0","0","0","0","0","0","0",0,0,"94","0","3","100","3","0","0","0","0","0","0","0",100,100,"0.7","4.4","2.1","none","0","234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","1","1","3","0","0","2","00",0,100,1,1,"1","0","4.4","0.014","0.075","SSS same agency","Oceana Marin (North Marin CWD) CS","1SSO10052",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10053","Active","01/11/2023","Municipal (Public)","501","217,679","148,491","2",1,"1","1","0","0","0","0","0","1","0","0","0","0","0",2,0,"95","100","5","0","0","0","0","0","0","0","0","0",100,100,"1.1","2.1","2.1","none","0","176","0","0","0","0","0","0","0","0","0","75","0","0","10","0","0","0","0","0","10","0","1","5","0",1,100,0,2,"0","1.8","1.0",".029",".0747","WWTP same agency","Percolation ponds","1B800450MEN",1,"No"," "," "," ",0,0,1,0,NA
"1","1SSO10055","Active","11/17/2021","Municipal (Public)","1,150","218,974","56,500","1",3,"2","2","0","0","0","0","0","0","0","0","0","0","0",0,0,"10","100","70","0","20","0","0","0","0","0","0","0",100,100,"5","15","3","none","0","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","0","0","40","0","0","2","0",0,100,0,0,"0.8","0","1",".18",".45","WWTP same agency","Redway Wastewater Plant","1B831470HUM",1,"No"," "," "," ",0,0,2,0,NA
"1","1SSO10058","Active","05/24/2023","Municipal (Public)","3,100","892,329","265,000","2",0,"1","3","0","0","0","0","0","0","0","0","0","0","0",0,0,"90","0","5","0","5","100","0","0","0","0","0","0",100,100,"2.5","25","7","lower","3","1200","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","35","2","0","25","0","0","25","0",0,100,2,0,"0","20","0",".2","2.25","WWTP same agency","Rio Dell WWTP","1B83134ohum",1,"No"," "," "," ",0,0,1,1,NA
"1","1SSO10062","Active","11/08/2022","Municipal (Public)","8,833","3,914,100","119,027","2",5,"1","1","0","0","0","0","0","2","0","0","0","0","0",0,0,"43","100","32","0","16","0","8","0","0","0","1","0",100,0,"0.1","38.4","10","lower","5","1760","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0",0,100,0,0,"4.5","10.3","0.3","0.52","2.1","WWTP same agency","Airport/Larkfield/Wikiup","1SSO10062",1,"No"," "," "," ",0,1,0,0,NA
"1","1SSO10063","Active","11/08/2022","Municipal (Public)","861","406,000","23,142","2",5,"1","1","0","0","0","0","0","2","0","0","0","0","0",0,0,"56","0","39","0","5","0","0","0","0","0","0","0",100,0,"0.3","4.7","1.6","lower","0.8","282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","1","0","0",0,100,0,1,"0.5","1.2","0","0.04","0.05","WWTP same agency","Geyserville","1SSO10063",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10064","Active","11/10/2022","Municipal (Public)","610","1,173,700","46,103","2",5,"1","1","0","0","0","0","0","2","0","0","0","0","0",0,0,"48","100","48","0","4","0","0","0","0","0","0","0",100,0,"0.6","1.7","0.6","lower","0.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","1","0","0","0","0","0",0,100,0,1,"0.1","0.1","1.8","0.01","0.1","WWTP same agency","Occidental County Sanitation District","1SSO10064",1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10065","Active","11/08/2022","Municipal (Public)","250","189,382.8","2,139","3",3,"1","1","3","0","3","0","0","1","0","0","1","0","0",0,0,"97","100","3","0","0","0","0","0","0","0","0","0",100,0,"0.3","1.3","0.7","lower","0.35","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","5","0","0","0","0",0,100,0,0,"0","0","0","0.003","0.02","WWTP same agency","Sea Ranch - Central","1SSO10065",1,"No"," "," "," ",0,1,0,0,NA
"1","1SSO10066","Active","01/30/2023","Municipal (Public)","1,156","441,527,450","4,991","3",3,"1","1","3","0","3","0","0","1","0","0","1","0","0",0,0,"86","92","5","8","9","0","0","0","0","0","0","0",100,100,"1","14","2.7","lower","1.4","480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","5","0","2","0","0",0,100,0,2,"0","0","0","0.02","0.09","WWTP other agency","Gualala Community Services District",NA,1,"No"," "," "," ",0,0,0,0,NA
"1","1SSO10067","Active","11/08/2022","Municipal (Public)","7,305","3,903,500","83,557.7","2",5,"1","1","0","0","0","0","0","2","0","0","0","0","0",0,0,"73","33","16","11","10","56","1","0","0","0","0","0",100,100,"4.2","34.1","14.2","lower","7.1","2497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","2","9","0","0",0,100,2,9,"3.4","11.5","0.14","0.11","0.66","WWTP same agency","Russian River CSD","1SSO10067",1,"No"," "," "," ",0,5,2,0,NA
"1","1SSO10068","Active","02/10/2023","Municipal (Public)","647","239,850","36,500","0",1,"0","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"100","100","0","0","0","0","0","0","0","0","0","0",100,100,"1","22","12","lower","12","2504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","5","0","0","4","0","0",0,100,0,9,"1","0","0","0.17","0.77","WWTP same agency","Resort Improvement District No. 1","1B84086OHUM",1,"No"," "," "," ",0,0,2,0,NA
"1","1SSO10069","Active","08/22/2019","School","10,000","750,000","0","0",5,"2","2","0","0","0","0","0","0","0","0","0","0","0",1,1,"30","0","30","0","10","0","10","0","20","0","0","0",100,0,"0","2.5","1.2","upperLower","1.2","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","20","0","0","10","0",0,100,0,0,"0","0.3","0.4",".2169",".319","WWTP other agency","Laguna Water Treatment Plant","1B83099OSONOSON",2,"No"," "," "," ",0,1,0,0,NA
"1","1SSO10070","Active","02/14/2023","Municipal (Public)","38,462","768,500","700,000","0",3,"0.5","0.5","2","0","1","0","0","0","0","0","1","0","0",2,1,"28","0","59","0","12","0","1","0","0","0","0","0",100,0,"0","18.39","17","none","0","1938","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","19","0","0","27","0","0","43","0",0,100,0,0,"0","16.27","6.37",".40",".68","WWTP other agency","Laguana Treatment Plant","1B830990SON",1,"No","No"," "," ",1,0,0,3,NA
"1","1SSO10074","Active","11/10/2022","Municipal (Public)","16,500","2,576,035","35,000","4",5,"2","1","1","0","0","0","0","0","0","0","0","0","0",0,0,"80","0","10","0","10","0","0","0","0","0","0","0",100,0,"0","44","44","none","0","5642","0","0","0","0","0","0","30","0","0","30","0","0","40","0","0","0","0","0","0","1","0","0","0",0,100,1,0,"0","85","40","1.05","5.775","WWTP same agency","City of Ukiah","1B84029OMEN",1,"Yes","Yes","Ukiah Valley San District","1B84029OMEN",1,18,2,0,NA
