"ANNUAL_REPORT_YEAR","WDID","REGION","REG_MEAS_STATUS","LAST_UPDATED_ON","SSS_CATEGORY","POP_SERVED","X._ENTRY_STAFF","X._JOURNEY_STAFF","X._SUPERVISORY_STAFF","X._MANAGERIAL_STAFF","X._CERTIFIED_GRADE_I","X._CERTIFIED_GRADE_II","X._CERTIFIED_GRADE_III","X._CERTIFIED_GRADE_IV","X._CERTIFIED_GRADE_V","X._CERTIFIED_CSUS","OTHER_CERTIFICATIONS","MILES_FORCED_MAINS","MILES_GRAVITY_SEWERS","X.6IN_OR_LESS_GRAVITY_MAIN","X.8IN_GRAVITY_MAIN","X.9.18IN_GRAVITY_MAIN","X.19.36IN_GRAVITY_MAIN","X.36IN_GREATER_GRAVITY_MAIN","X.UNK_DIAM_GRAVITY_MAIN","X.TOT_GRAVITY_MAIN","X.6IN_OR_LESS_FORCE_MAIN","X.8IN_FORCE_MAIN","X.9.18IN_FORCE_MAIN","X.19.36IN_FORCE_MAIN","X.36IN_GREATER_FORCE_MAIN","X.UNK_FORCE_MAIN","X.TOT_FORCE_MAIN","X._CONNECTED_LATERALS","X._LATERALS_OWNED_OPERATED","PORTIONS_LATERAL_RESPONSIBLE","MILES_LATERAL_RESPONSIBLE","X.GRAVITY_MAIN_2020.PRESENT","X.GRAVITY_MAIN_2000.2019","X.GRAVITY_MAIN_1980.1999","X.GRAVITY_MAIN_1960.1979","X.GRAVITY_MAIN_1940.1959","X.GRAVITY_MAIN_1920.1939","X.GRAVITY_MAIN_1900.1919","X.GRAVITY_MAIN_BEFORE_1900","X.GRAVITY_MAIN_UNKNOWN_AGE","X.GRAVITY_MAIN_TOTAL","X.PUMP_75000_GAL.DAY_OR_OVER_2020.PRESENT","X.PUMP_75000_GAL.DAY_OR_OVER_2000.2019","X.PUMP_75000_GAL.DAY_OR_OVER_1980.1999","X._PUMP_75000_GAL.DAY_OR_OVER_1960.1979","X.PUMP_75000_GAL.DAY_OVER_1940.1959","X.PUMP_75000_GAL.OR_OVER_1920.1939","X.PUMP_75000_GAL.DAY_OR_OVER_1900.1919","X.PUMP_75000_GAL.DAY_OR_OVER_BEFORE_1900","X.PUMP_75000_GAL.DAY_OR_OVER_UNKNOWN_AGE","X.PUMP_75000_GAL.DAY_OR_OVER_TOTAL","X.PUMP_UNDER_75000_GAL.DAY_2020.NOW","X.PUMP_UNDER_75000_GAL.DAY_2000.2019","X.PUMP_UNDER_75000_GAL.DAY_1980.1999","X.PUMP_UNDER_75000_GAL.DAY_UNDER_1960.1979","X.PUMP_UNDER_75000_GAL.DAY_1940.1959","X.PUMP_UNDER_75000_GAL.DAY_1920.1939","X.PUMP_UNDER_75000_GAL.DAY_1900.1919","X.PUMP_UNDER_75000_GAL.DAY_BEFORE_1900","X.PUMP_UNDER_75000_GAL.DAY_UNKNOWN_AGE","X.PUMP_UNDER_75000_GAL.DAY_TOTAL","EST_MILES_NOT_ACCESSIBLE","MILES_CLEANED","MILES_INSPECTED","FIRST_ROW_TREATMENT_PLANT_WDID","FIRST_ROW_NAME_ADDRESS","FIRST_ROW_RELATIONSHIP","SECOND_ROW_TREATMENT_PLANT_WDID","SECOND_ROW_NAME_ADDRESS","SECOND_ROW_RELATIONSHIP","THIRD_ROW_TREATMENT_PLANT_WDID","THIRD_ROW_NAME_ADDRESS","THIRD_ROW_RELATIONSHIP","FOURTH_ROW_TREATMENT_PLANT_WDID","FOURTH_ROW_NAME_ADDRESS","FOURTH_ROW_RELATIONSHIP","SATELLITE_TRIBUTARY_SYSTEMS","FIRST_ROW_TRIBUTARY_SYSTEM_OWNED","FIRST_ROW_TRIBUTARY_SYSTEM_NAME","FIRST_ROW_COLLECTION_SYSTEM_WDID","SECOND_ROW_TRIBUTARY_SYSTEM_OWNED","SECOND_ROW_TRIBUTARY_SYSTEM_NAME","SECOND_ROW_COLLECTION_SYSTEM_WDID","THIRD_ROW_TRIBUTARY_SYSTEM_OWNED","THIRD_ROW_TRIBUTARY_SYSTEM_NAME","THIRD_ROW_COLLECTION_SYSTEM_WDID","FOURTH_ROW_TRIBUTARY_SYSTEM_OWNED","FOURTH_ROW_TRIBUTARY_SYSTEM_NAME","FOURTH_ROW_TREATMENT_PLANT_WDID.1","FIFTH_ROW_TRIBUTARY_SYSTEM_OWNED","FIFTH_ROW_TRIBUTARY_SYSTEM_NAME","FIFTH_ROW_TREATMENT_PLANT_WDID","INFO_ADDITIONAL_TRIBUTARY_SYSTEMS","X.GRAVITY_MAINLINE_AERIAL_OR_UNDER_GROUND_CROSSINGS","X.FORCE_MAINLINE_AERIAL_OR_UNDER_GROUND_CROSSINGS","X._SIPHONS","SYSTEM_PERFORMANCE_EVAL_ATTACHED","SPILL_EMERGENCY_RESPONSE_PLAN_UPDATED","MAJOR_SPILL_CAUSES","SPILL_CAUSES_OTHER_DESC","FAILURE_POINTS","FAILURE_POINTS_OTHER_DESC","ONGOING_SPILL_INVESTIGATIONS","ACTIONS_TAKEN_TO_ADDRESS_DEFICIENCIES","X"
2023,"5SSO10781","5R",616,"29-MAR-24","Municipal(Public)",275,2,1,0,0,1,0,0,0,0,0,"None",2,3,25,75,0,0,0,0,100,100,0,0,0,0,0,100,200,100,"Lower only",1,0,5,5,90,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,"5SSO10781","Adin CS,    , Adin, CA 96006-8015 ","SSS same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",3,1,0,"Y","Y","Other (specify below)","There were no major spills causes.","Other (specify below)","There were no system infrastructure failure points.","None","None",NA
2024,"5SSO10781","5R",616,"14-APR-25","Municipal(Public)",275,1,2,0,0,0,1,0,0,0,0,"none",2,3,25,75,0,0,0,0,100,100,0,0,0,0,0,100,200,100,"Lower only",1,0,5,5,90,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,"5A250101001","Adin CSD,   Hwy 139 Highway, Adin, CA 96006 ","SSS same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","None",3,1,0,"Y","Y","Other (specify below)","There were no major spills causes.","Other (specify below)","Ther where no system failure points.  ","none","none",NA
2023,"5SSO10782","5R",616,"01-APR-24","Municipal(Public)",43,1,3,1,2,0,4,1,0,0,1,"",1,1,100,0,0,0,0,0,100,100,0,0,0,0,0,100,45,45,"Upper and Lower",2,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,"5ss010782","APN 096-300-037","WWTP same agency","5ss010782","APN 703-020-009","WWTP same agency","","","","","","","N","","","","","","","","","","","","","","","","",0,1,0,"N","N","Debris-General","","Pump Station - Controls","","N\A","Pump replacement repair.",NA
2023,"3SSO10301","3",616,"31-MAR-24","Municipal(Public)",650,1,10,1,2,0,0,0,0,0,0,"California's Wastewater Operator Certification Program Grade I: 1; Grade II: 3; Grade III: 3; Grade IV: 4",3,8,60,0,40,0,0,0,100,30,0,70,0,0,0,100,650,0,"None",0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,5,0,0,"3SSO10301","Oak Shores Development CS,    , San Luis Obispo, CA 93408 ","SSS same agency","3 400113003","Oak Shores WWTP","WWTP same agency","","","","","","","N","N",NA,NA,"","","","","","","","","","","","",NA,1,2,0,"Y","Y","Pump Station Failure - Power","Power outage and Operator error","Other (specify below)","Pump station power line and infrastructure","No on-going spills at the treatment facility. A few treated effluent percolation pond spills at the disposal area.","Actions taken and planned are addressed in the NOV response letter, including but not limited to operator training, operations checklist, updating the Spill Response Plan, and adding a meter to the upper and lower ponds.",NA
2024,"3SSO10301","3",616,"09-APR-25","Municipal(Public)",658,4,7,4,1,2,1,0,0,0,2,NA,3,8,60,0,40,0,0,0,100,30,0,70,0,0,0,100,658,0,"None",0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,5,1,0,"3SSO10301","Oak Shores Development CS, , San Luis Obispo CA 9340","SSS same agency","3 400113003","Oak Shores WWTP","WWTP same agency","","","","","","","N","N",NA,NA,"","","","","","","","","","","","",NA,1,2,0,"Y","Y","Other (specify below)","NA, No spills in 2024","Other (specify below)",NA,NA,NA,NA
2025,"3SSO10301","3",616,"30-MAR-26","Municipal(Public)",658,1,7,2,2,1,1,4,2,0,0,NA,3,8,60,0,40,0,0,0,100,30,0,70,0,0,0,100,658,0,"None",0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,5,4,0.1,"3SSO10301","Oak Shores Development CS","SSS same agency","3 400113003","Oak Shores WWTP, 2537 Ridge Rider Road, Bradley CA 93426","WWTP same agency","","","","","","","N","N",NA,NA,"","","","","","","","","","","","",NA,1,2,0,"Y","Y","Other (specify below)","NA, No Spills in 2025","Other (specify below)",NA,NA,NA,NA
2025,"3SSO10254","3",616,"25-MAR-26","Municipal(Public)",7400,1,2,1,1,0,0,0,0,0,5,NA,1,17,85,9,5,0,0,0,99,0,1,0,0,0,0,1,2268,310,"Lower only",2,5,5,10,80,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.5,3,"3 400111001 ","310.31 Oceano HSA,    , CA  ","WWTP other agency","","","","","","","","","","N","N",NA,NA,"N",NA,NA,"N",NA,NA,"N",NA,NA,"N",NA,NA,NA,0,1,0,"Y","Y","Debris-Rags","","Other (specify below)","None","None","Sewer CIP",NA
2023,"5SSO10784","5R",616,"14-MAR-24","Municipal(Public)",11307,0,2,1,1,1,1,0,0,0,0,"N/A",1,47,33,38,23,6,0,0,100,100,0,0,0,0,0,100,4805,0,"None",0,2,18,10,10,60,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,19,9,"5A450100001","Anderson 001,    , CA  ","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","N/A",8,0,0,"Y","Y","Debris-General","N/A","Gravity Mainline","N/A","N/A","Identify any problematic areas through routine maintenance and add those sections to a preventative maintenance schedule. This greatly reduces or eliminates the chances of a spill in those known areas. ",NA
2024,"5SSO10784","5R",616,"21-JAN-25","Municipal(Public)",7774,0,4,1,1,1,1,0,0,0,0,"N/A",1,47,33,38,23,6,0,0,100,100,0,0,0,0,0,100,4805,0,"None",0,2,18,10,10,60,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,20.7,6.4,"5A450100001","Anderson 001,    , CA  ","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","N/A",8,0,0,"Y","Y","Other (specify below)","No spills reported in 2024","Other (specify below)","None in 2024","None in 2024","Continuation with preventative maintenance program along with capital improvement projects. ",NA
2025,"5SSO10784","5R",616,"12-JAN-26","Municipal(Public)",7774,0,4,1,1,0,2,0,0,0,0,"",1,47,33,38,23,6,0,0,100,100,0,0,0,0,0,100,4805,0,"None",0,2,18,10,10,60,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,27.5,9.3,"5A450100001","Anderson 001,    , CA  ","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",8,0,0,"Y","Y","Other (specify below)","No spills in 2025","Other (specify below)","None in 2025","None in 2025","Hired Pace Engineering in Redding, California, to develop an updated Master Sewer Plan aimed at identifying deficiencies within the entire system. Compile a list of high-priority improvement projects and undertake efforts to address the identified deficiencies. ",NA
